TRIAL #,DATE,TIME,SITE,DURATION OF GROWTH (days),FEEDER #,TREATMENT,OBSERVER,# HUMM,# INSECT,FEEDER WT (g),FEED TEMP ,ENV TEMP ,NOTES,pH,OD_1,OD_2,OD_avg
2,30-Jun-17,6:50,Glide,4,5,net,TH,0,0,1496,57.4,,,4,0.0368,0.0385,0.03765
2,30-Jun-17,18:50,Glide,4,5,net,TH,0,0,,.,,,.,.,.,.
2,3-Jul-17,6:00,Glide,7,5,net,TH,.,.,1463,60.2,,,3.75,0.0392,0.0373,0.03825
1,12-Jun-17,9:30,Glide,0,5,open,CGL,0,0,1554,.,,,.,.,.,.
1,12-Jun-17,18:55,Glide,0,5,open,CGL,4,0,.,.,,,.,.,.,.
1,13-Jun-17,6:15,Glide,1,5,open,CGL,4,0,1539,52.7,,,4.25,0.04,0.04,0.04
1,13-Jun-17,18:35,Glide,1,5,open,CGL,2,0,.,.,,,.,.,.,.
1,14-Jun-17,7:50,Glide,2,5,open,CGL,13,0,1472,66,,,4.5,0.04,0.041,0.0405
1,14-Jun-17,18:55,Glide,2,5,open,CGL,3,0,.,.,,,.,.,.,.
1,15-Jun-17,6:30,Glide,3,5,open,CGL,9,0,1408,56.8,,,4.5,0.043,0.04,0.0415
1,15-Jun-17,18:45,Glide,3,5,open,CGL,2,0,.,.,,,.,.,.,.
1,19-Jun-17,8:00,Rita,7,5,open,CGL,.,.,1440,77,,,4.25,0.045,0.046,0.0455
1,12-Jun-17,9:30,Glide,0,6,cage,CGL,0,0,1634,.,,,.,.,.,.
1,12-Jun-17,18:55,Glide,0,6,cage,CGL,0,0,.,.,,,.,.,.,.
2,26-Jun-17,6:40,Glide,0,6,cage,TH,0,0,1621,66.4,,,.,.,.,.
2,26-Jun-17,18:15,Glide,0,6,cage,TH,0,0,.,.,,light breeze,.,.,.,.
1,13-Jun-17,6:15,Glide,1,6,cage,CGL,0,0,1633,52.7,,,4.25,0.043,0.043,0.043
1,13-Jun-17,18:35,Glide,1,6,cage,CGL,0,0,.,.,,,.,.,.,.
2,27-Jun-17,7:10,Glide,1,6,cage,TH,0,0,1617,57.4,,,4.25,0.0378,0.0375,0.03765
2,27-Jun-17,19:10,Glide,1,6,cage,CGL,0,0,.,.,,,.,.,.,.
1,14-Jun-17,7:50,Glide,2,6,cage,CGL,0,0,1607,66.4,,,4.5,0.043,0.039,0.041
1,14-Jun-17,18:55,Glide,2,6,cage,CGL,0,0,.,.,,,.,.,.,.
2,28-Jun-17,6:37,Glide,2,6,cage,TH,0,0,1596,58.6,,,4.25,0.0365,0.0362,0.03635
2,28-Jun-17,18:15,Glide,2,6,cage,TH,0,0,.,.,,,.,.,.,.
1,15-Jun-17,6:30,Glide,3,6,cage,CGL,0,0,1580,57.2,,,4,0.039,0.043,0.041
1,15-Jun-17,18:45,Glide,3,6,cage,CGL,0,0,.,.,,,.,.,.,.
2,30-Jun-17,6:50,Glide,4,6,cage,TH,0,0,1571,57.2,,fell when hung back up (string defect) -- weighed 1500g post-fall,4.25,0.0399,0.0386,0.03925
2,30-Jun-17,18:50,Glide,4,6,cage,TH,0,0,,.,,,.,.,.,.
1,19-Jun-17,8:00,Rita,7,6,cage,CGL,.,.,673,.,,,.,.,.,.
2,3-Jul-17,6:00,Glide,7,6,cage,TH,.,.,1472,60.4,,,3.75,0.038,0.0379,0.03795
1,12-Jun-17,8:45,Rita,0,6,open,CGL,1,0,1548,.,,,.,.,.,.
1,12-Jun-17,18:15,Rita,0,6,open,CGL,32,0,.,.,,,.,.,.,.
2,26-Jun-17,8:00,Rita,0,6,open,TH,2,0,1542,.,,,.,.,.,.
2,26-Jun-17,18:50,Rita,0,6,open,TH,37,0,.,.,,light breeze,.,.,.,.
3,10-Jul-17,6:25,Glide,0,6,open,TH,1,0,1533,,,,.,.,.,.
3,10-Jul-17,7:10,Rita,0,6,open,CGL,81,0,1561,.,.,.,.,.,.,.
3,10-Jul-17,18:45,Glide,0,6,open,CGL,0,0,.,.,.,.,.,.,.,.
3,10-Jul-17,19:30,Rita,0,6,open,CGL,8,0,.,.,.,.,.,.,.,.
1,13-Jun-17,7:15,Rita,1,6,open,CGL,36,0,1252,56.5,,,4.25,0.039,0.039,0.039
1,13-Jun-17,19:15,Rita,1,6,open,CGL,38,0,.,.,,<2' left in feeder,.,.,.,.
2,27-Jun-17,6:15,Rita,1,6,open,TH,22,0,1438,56.8,,,4.25,0.0381,0.0366,0.03735
2,27-Jun-17,18:35,Rita,1,6,open,CGL,46,0,.,.,,,.,.,.,.
3,11-Jul-17,6:10,Rita,1,6,open,.,0,0,1461,59.9,.,.,4.5,0.0354,0.0381,0.03675
3,11-Jul-17,7:20,Glide,1,6,open,.,1,0,1523,60.1,.,.,5.5,0.0337,0.0341,0.0339
3,11-Jul-17,17:32,Rita,1,6,open,TH,15,0,.,.,,,.,.,.,.
3,11-Jul-17,18:20,Glide,1,6,open,TH,0,0,.,.,,,.,.,.,.
1,14-Jun-17,6:50,Rita,2,6,open,CGL,30,0,815,58.5,,,4.5,0.043,0.042,0.0425
1,14-Jun-17,18:05,Rita,2,6,open,CGL,12,0,.,.,,near empty,.,.,.,.
2,28-Jun-17,7:20,Rita,2,6,open,TH,31,0,1231,60.1,,,4.25,0.0356,0.0372,0.0364
2,28-Jun-17,18:41,Rita,2,6,open,TH,58,0,.,.,,6 birds seen feeding at once,.,.,.,.
3,12-Jul-17,7:03,Rita,2,6,open,CGL,7,0,1258,61,,,4.25,0.0371,0.037,0.03705
3,12-Jul-17,6:15,Glide,2,6,open,TH,2,0,1492,60.4,,,4.25,0.0351,0.037,0.03605
3,12-Jul-17,18:40,Glide,2,6,open,TH,0,0,.,.,,,.,.,.,.
3,12-Jul-17,19:10,Rita,2,6,open,TH,30,0,.,.,,,.,.,.,.
1,15-Jun-17,7:30,Rita,3,6,open,CGL,4,0,677,65.5,,empty -- 4mL collected,3.5,0.043,0.049,0.046
1,15-Jun-17,19:15,Rita,3,6,open,CGL,2,0,.,.,,empty,.,.,.,.
2,29-Jun-17,7:15,Rita,3,6,open,CGL,.,.,749,60.8,,20mL collected; spider found in reservoir; visits not counted but seen at feeder,4.25,0.0375,0.0377,0.0376
3,13-Jul-17,8:30,Rita,3,6,open,CGL,.,.,883,68.9,,,4.25,0.0383,0.0389,0.0386
2,30-Jun-17,6:00,Rita,4,6,open,TH,0,0,705,55.9,,,3.75,0.0402,0.041,0.0406
2,30-Jun-17,18:15,Rita,4,6,open,TH,14,0,.,.,,,.,.,.,.
3,14-Jul-17,6:11,Rita,4,6,open,TH,2,0,685,60.8,,,4,0.0391,0.0417,0.0404
3,14-Jul-17,7:09,Glide,4,6,open,TH,2,0,1443,59.5,,,4.25,0.0373,0.0377,0.0375
3,14-Jul-17,18:05,Glide,4,6,open,TH,0,0,.,.,,,.,.,.,.
3,14-Jul-17,18:30,Rita,4,6,open,TH,3,0,.,.,,,.,.,.,.
1,19-Jun-17,6:40,Glide,7,6,open,CGL,.,.,1639,70.9,,ants!,4.5,0.05,0.048,0.049
2,3-Jul-17,6:50,Rita,7,6,open,TH,.,.,674,.,,,2.5,0.0453,0.0455,0.0454
3,17-Jul-17,7:05,Rita,7,6,open,.,.,.,670,.,,"no sample, feeder empty",.,.,.,.
3,17-Jul-17,6:15,Glide,7,6,open,.,.,.,1390,64,,,4,0.0413,0.0419,0.0416
3,10-Jul-17,7:10,Rita,0,7,net,CGL,0,0,1562,74.5,.,1546g,.,.,.,.
3,10-Jul-17,19:30,Rita,0,7,net,CGL,0,0,.,.,.,.,.,.,.,.
3,11-Jul-17,6:10,Rita,1,7,net,.,0,0,1552,59.5,.,.,4.5,0.0355,0.0368,0.03615
3,11-Jul-17,17:32,Rita,1,7,net,TH,0,0,.,.,,,.,.,.,.
3,12-Jul-17,7:03,Rita,2,7,net,TH,0,0,1516,60.4,,,4.25,0.0379,0.0378,0.03785
3,12-Jul-17,19:10,Rita,2,7,net,TH,0,0,.,.,,,.,.,.,.
3,14-Jul-17,6:11,Rita,4,7,net,TH,0,0,1494,59.7,,,4.25,0.0374,0.0379,0.03765
3,14-Jul-17,18:30,Rita,4,7,net,TH,0,0,.,.,,,.,.,.,.
3,17-Jul-17,7:05,Rita,7,7,net,.,.,.,1459,63.9,,,4,0.0379,0.0382,0.03805
3,10-Jul-17,7:10,Rita,0,8,open,CGL,2,0,1561,.,.,.,.,.,.,.
3,10-Jul-17,19:30,Rita,0,8,open,CGL,13,0,.,.,.,.,.,.,.,.
3,11-Jul-17,6:10,Rita,1,8,open,.,1,0,1492,59,.,.,4.5,0.0338,0.0334,0.0336
3,11-Jul-17,17:32,Rita,1,8,open,TH,13,0,.,.,,,.,.,.,.
3,12-Jul-17,7:03,Rita,2,8,open,CGL,12,0,1349,60.4,,,4.25,0.0363,0.0367,0.0365
3,12-Jul-17,19:10,Rita,2,8,open,TH,28,0,.,.,,,.,.,.,.
3,14-Jul-17,6:11,Rita,4,8,open,CGL,10,0,671,.,,"no sample, feeder empty",.,.,.,.
3,14-Jul-17,18:30,Rita,4,8,open,TH,4,0,.,.,,,.,.,.,.
3,17-Jul-17,7:05,Rita,7,8,open,.,.,.,667,.,,"no sample, feeder empty",.,.,.,.
3,10-Jul-17,7:10,Rita,0,9,net,CGL,0,0,1578,.,.,1565g,.,.,.,.
3,10-Jul-17,19:30,Rita,0,9,net,CGL,0,0,.,.,.,.,.,.,.,.
3,11-Jul-17,6:10,Rita,1,9,net,.,0,0,1572,58.6,.,.,4.5,0.0339,0.0368,0.03535
3,11-Jul-17,17:32,Rita,1,9,net,TH,0,0,.,.,,,.,.,.,.
3,12-Jul-17,7:03,Rita,2,9,net,CGL,0,0,1549,60.1,,,4.25,0.0353,0.0358,0.03555
3,12-Jul-17,19:10,Rita,2,9,net,TH,.,0,.,.,,,.,.,.,.
3,14-Jul-17,6:11,Rita,4,9,net,CGL,0,0,1524,59,,,4.25,0.0338,0.0354,0.0346
3,14-Jul-17,18:30,Rita,4,9,net,TH,0,0,.,.,,,.,.,.,.
3,17-Jul-17,7:05,Rita,7,9,net,.,.,.,1498,63.5,,,4,0.0398,0.0355,0.03765
3,10-Jul-17,7:10,Rita,0,10,open,CGL,18,0,1546,.,.,.,.,.,.,.
3,10-Jul-17,19:30,Rita,0,10,open,CGL,19,0,.,.,.,.,.,.,.,.
3,11-Jul-17,6:10,Rita,1,10,open,.,14,0,1570,59,.,.,4.5,0.0331,0.0518,0.04245
3,11-Jul-17,17:32,Rita,1,10,open,TH,23,0,.,.,,,.,.,.,.
3,12-Jul-17,7:03,Rita,2,10,open,TH,23,0,886,59.9,,,4.25,0.0366,0.0369,0.03675
3,12-Jul-17,19:10,Rita,2,10,open,TH,10,0,.,.,,,.,.,.,.
3,13-Jul-17,8:30,Rita,3,10,open,CGL,.,.,674,72.1,,OD measurement not taken due to low sample volume,3.75,.,.,.
3,14-Jul-17,6:11,Rita,4,10,open,CGL,1,0,670,.,,"no sample, feeder empty",.,.,.,.
3,14-Jul-17,18:30,Rita,4,10,open,TH,3,0,.,.,,,.,.,.,.
3,17-Jul-17,7:05,Rita,7,10,open,.,.,.,669,.,,"no sample, feeder empty",.,.,.,.
3,10-Jul-17,7:10,Rita,0,11,net,CGL,0,0,1545,76.1,.,1529g,.,.,.,.
3,10-Jul-17,19:30,Rita,0,11,net,CGL,0,0,.,.,.,.,.,.,.,.
3,11-Jul-17,6:10,Rita,1,11,net,.,0,0,1542,58.8,.,.,4.5,0.0348,0.0345,0.03465
3,11-Jul-17,17:32,Rita,1,11,net,TH,0,0,.,.,,,.,.,.,.
3,12-Jul-17,7:03,Rita,2,11,net,TH,0,0,1522,60.1,,,4.75,0.0387,0.0372,0.03795
3,12-Jul-17,19:10,Rita,2,11,net,TH,.,0,.,.,,,.,.,.,.
3,14-Jul-17,6:11,Rita,4,11,net,CGL,0,0,1503,59.5,,,5,0.0374,0.0387,0.03805
3,14-Jul-17,18:30,Rita,4,11,net,TH,0,0,.,.,,,.,.,.,.
3,17-Jul-17,7:05,Rita,7,11,net,.,.,.,1467,64,,,4.75,0.0378,0.0395,0.03865
3,10-Jul-17,7:10,Rita,0,12,open,CGL,18,0,1559,.,.,.,.,.,.,.
3,10-Jul-17,19:30,Rita,0,12,open,CGL,19,0,.,.,.,.,.,.,.,.
3,11-Jul-17,6:10,Rita,1,12,open,.,31,0,1334,58.3,.,.,4.5,0.0353,0.0362,0.03575
3,11-Jul-17,17:32,Rita,1,12,open,TH,29,0,.,.,,,.,.,.,.
3,12-Jul-17,7:03,Rita,2,12,open,TH,51,0,1041,59.9,,,4.75,0.0387,0.0378,0.03825
3,12-Jul-17,19:10,Rita,2,12,open,TH,18,0,.,.,,,.,.,.,.
3,13-Jul-17,8:30,Rita,3,12,open,CGL,.,.,688,71.8,,,4.5,0.0378,0.0387,0.03825
3,14-Jul-17,6:11,Rita,4,12,open,CGL,2,0,673,.,,"no sample, feeder empty",.,.,.,.
3,14-Jul-17,18:30,Rita,4,12,open,TH,2,0,.,.,,,.,.,.,.
3,17-Jul-17,7:05,Rita,7,12,open,.,.,.,672,.,,"no sample, feeder empty",.,.,.,.
3,10-Jul-17,7:10,Rita,0,13,net,CGL,0,0,1570,.,.,1556g,.,.,.,.
3,10-Jul-17,19:30,Rita,0,13,net,CGL,0,0,.,.,.,.,.,.,.,.
3,11-Jul-17,6:10,Rita,1,13,net,.,0,0,1563,61,.,.,4.5,0.0357,0.0368,0.03625
3,11-Jul-17,17:32,Rita,1,13,net,TH,0,0,.,.,,,.,.,.,.
3,12-Jul-17,7:03,Rita,2,13,net,TH,0,0,1547,60.8,,,4.75,0.0442,0.0365,0.04035
3,12-Jul-17,19:10,Rita,2,13,net,TH,.,0,.,.,,,.,.,.,.
3,14-Jul-17,6:11,Rita,4,13,net,CGL,0,0,1530,59.7,,,5,0.0393,0.0408,0.04005
3,14-Jul-17,18:30,Rita,4,13,net,TH,0,0,.,.,,,.,.,.,.
3,17-Jul-17,7:05,Rita,7,13,net,.,.,.,1496,64.9,,,4.75,0.0403,0.0415,0.0409
3,10-Jul-17,7:10,Rita,0,14,open,CGL,2,0,1558,.,.,.,.,.,.,.
3,10-Jul-17,19:30,Rita,0,14,open,CGL,10,0,.,.,.,.,.,.,.,.
3,11-Jul-17,6:10,Rita,1,14,open,.,6,0,1499,58.6,.,.,4.5,0.0366,0.0407,0.03865
3,11-Jul-17,17:32,Rita,1,14,open,TH,19,0,.,.,,,.,.,.,.
3,12-Jul-17,7:03,Rita,2,14,open,CGL,21,0,1383,60.6,,,4.75,0.0386,0.0387,0.03865
3,12-Jul-17,19:10,Rita,2,14,open,TH,41,0,.,.,,,.,.,.,.
3,14-Jul-17,6:11,Rita,4,14,open,CGL,67,0,905,60.8,,,5,0.0394,0.0396,0.0395
3,14-Jul-17,18:30,Rita,4,14,open,TH,9,0,.,.,,,.,.,.,.
3,17-Jul-17,7:05,Rita,7,14,open,.,.,.,710,65.5,,bugs in feeder,4.5,0.0397,0.0409,0.0403
2,26-Jun-17,6:00,.,0,20% sugar H20 (stock),.,.,.,.,.,,,,4,0.0388,0.0393,0.03905
1,12-Jun-17,8:45,Rita,0,H20 + sugar (stock 1),.,.,.,.,.,66.2,,,4.5,0.04,.,0.04
1,12-Jun-17,8:45,Rita,0,H20 + sugar (stock 2),.,.,.,.,.,66.2,,,4.5,0.043,.,0.043
1,12-Jun-17,8:45,Rita,0,H20 + sugar (stock 3),.,.,.,.,.,66.2,,,4.5,0.04,.,0.04
3,10-Jul-17,7:10,Rita,0,DI water + sugar,.,CGL,.,.,.,74.3,.,.,.,.,.,.
3,10-Jul-17,7:10,Rita,0,tap water + sugar,.,CGL,.,.,.,75.4,.,.,.,.,.,.
2,26-Jun-17,6:00,Glide,0,.,.,.,.,.,.,66.4,,,4,0.0383,0.0375,0.0379
2,26-Jun-17,6:00,Rita,0,.,.,.,.,.,.,67.3,,,4,0.0397,0.0381,0.0389
